ticket_id,customer_id,open_date,close_date,priority,channel,csat_score
302c252a-266d-4638-b135-82c642fb8725,C0000,2023-01-01,2023-01-03,low,email,1
62eadd32-5110-424a-beb2-12a28b4d4e98,C0001,2023-01-02,2023-01-04,low,email,2
3873ca7d-20d2-40f4-8079-b6098815e4fb,C0002,2023-01-03,2023-01-05,low,email,2
4a7a6124-eee1-4313-b683-3897556b1ef3,C0003,2023-01-04,2023-01-06,low,email,3
853029ac-20bd-4b05-b504-667afb9dc31e,C0004,2023-01-05,2023-01-07,low,email,3
0be52d57-af59-44da-b234-c442485a48e1,C0005,2023-01-06,2023-01-08,medium,chat,4
b52e6b7d-f7d5-402a-91b4-ca370ee80e85,C0006,2023-01-07,2023-01-09,medium,chat,4
83f2082c-bbed-422a-87c7-292eeba306a8,C0007,2023-01-08,2023-01-10,medium,chat,4
6fa2953e-780c-4676-a198-bd2f807c2b32,C0008,2023-01-09,2023-01-11,high,phone,5
02949cc9-1b04-4059-9943-c4ebc9068c71,C0009,2023-01-10,2023-01-09,critical,self-service,5
042b0169-ab49-464c-86b6-911a72b5058a,C0010,2023-01-11,2023-01-13,low,email,1
62c8b166-ed46-45c7-8c76-db36c016105c,C0011,2023-01-12,2023-01-14,low,email,2
bbfe8798-2d56-4056-8d3c-7db5d3bf6ff0,C0012,2023-01-13,2023-01-15,low,email,2
13f02e47-8217-4f25-acfb-ddf4dd37f546,C0013,2023-01-14,2023-01-16,low,email,3
72ecefa2-e139-48da-a005-b6ca34f6d38a,C0014,2023-01-15,2023-01-17,low,email,3
557ae1bc-897b-45f4-a9d8-6fecb6df30a9,C0015,2023-01-16,2023-01-18,medium,chat,4
d0b2f3ac-1350-4794-bcaf-a6b99cac8b36,C0016,2023-01-17,2023-01-19,medium,chat,4
27f545c8-5959-4851-bbfc-22f3629141b8,C0017,2023-01-18,2023-01-20,medium,chat,4
abf6ab7d-d79d-4ad2-a816-af385449c446,C0018,2023-01-19,2023-01-21,high,phone,5
dfe92071-4ae6-42d4-8ef9-0b84e8dc7e0a,C0019,2023-01-20,2023-01-19,critical,self-service,5
0c7c8965-9446-4381-a960-8a71eed7f8a0,C0020,2023-01-21,2023-01-23,low,email,1
ae1e8734-d0b9-4fd1-bf30-b680253518be,C0021,2023-01-22,2023-01-24,low,email,2
475e043f-c667-4832-bed8-58d43420f7eb,C0022,2023-01-23,2023-01-25,low,email,2
ca83046d-b476-459a-9364-a07f22de1b40,C0023,2023-01-24,2023-01-26,low,email,3
e07ff844-9d3a-484a-b844-107dcfa2da88,C0024,2023-01-25,2023-01-27,low,email,3
18088d40-453b-4d35-8c11-f93237de61c9,C0025,2023-01-26,2023-01-28,medium,chat,4
9ed2f9c0-ea1e-4d08-88fa-9ba2c4a7ca58,C0026,2023-01-27,2023-01-29,medium,chat,4
58a49524-52b0-4390-89c7-b725fa43d273,C0027,2023-01-28,2023-01-30,medium,chat,4
6b317842-6341-484d-8cdd-f4b99a5e4977,C0028,2023-01-29,2023-01-31,high,phone,5
5e48d889-0d0d-4c13-8c84-35b073c6037e,C0029,2023-01-30,2023-01-29,critical,self-service,5
ed2cc9ad-8c6e-400c-9805-aee9e10538cf,C0030,2023-01-31,2023-02-02,low,email,1
a4dd7c57-719a-465b-9f76-3b17360041d0,C0031,2023-02-01,2023-02-03,low,email,2
5debaaba-e334-4a9c-975b-efb1c6cde96f,C0032,2023-02-02,2023-02-04,low,email,2
3affd102-0db6-42ba-ba2d-690c1777cd93,C0033,2023-02-03,2023-02-05,low,email,3
75c0c430-e0d3-475c-9588-17c322fd6297,C0034,2023-02-04,2023-02-06,low,email,3
6d847e95-af92-4418-a217-da27f3e82c59,C0035,2023-02-05,2023-02-07,medium,chat,4
